x_,y_,t_,id,sex
4610806.601601295,2625092.209506239,2020-01-30T00:40:25Z,20,m
4610845.865535717,2625191.7969465023,2020-01-30T04:00:37Z,20,m
4610860.905257043,2624975.336391517,2020-01-30T07:20:45Z,20,m
4610865.927835314,2624983.229743681,2020-01-30T10:41:25Z,20,m
4610867.001510487,2624998.5584235834,2020-01-30T14:00:34Z,20,m
4610837.874441722,2625213.0269791856,2020-01-30T17:20:39Z,20,m
4610842.676582441,2625170.4204245405,2020-01-30T20:40:23Z,20,m
4610836.496833619,2625137.011546698,2020-01-31T00:00:38Z,20,m
4610834.382390836,2625160.662961737,2020-01-31T03:20:38Z,20,m
4610880.203149261,2624990.322685868,2020-01-31T06:40:38Z,20,m
4610868.137160128,2624994.797937431,2020-01-31T10:00:25Z,20,m
4610889.632913565,2624984.4400348677,2020-01-31T13:20:31Z,20,m
4610871.585854123,2624985.6399816526,2020-01-31T16:40:36Z,20,m
4610829.370225904,2625148.1031380664,2020-01-31T20:00:38Z,20,m
4610848.3969028955,2625171.5610095626,2020-01-31T23:20:38Z,20,m
4610805.5000459645,2625174.0381770376,2020-02-01T02:40:22Z,20,m
4610863.876203683,2625020.461113657,2020-02-01T06:00:39Z,20,m
4610857.3525311705,2624989.580328993,2020-02-01T09:20:27Z,20,m
4610875.587267877,2624993.4812084846,2020-02-01T12:40:38Z,20,m
4610863.052459544,2625000.0539043793,2020-02-01T16:00:38Z,20,m
4610821.504960056,2625193.5232455563,2020-02-01T19:20:37Z,20,m
4610837.216634061,2625165.4746688735,2020-02-01T22:40:15Z,20,m
4610872.444367152,2625143.5138187506,2020-02-02T02:00:22Z,20,m
4610872.70068023,2624982.3027072237,2020-02-02T05:20:35Z,20,m
4610856.5298256595,2625004.8121909797,2020-02-02T08:40:39Z,20,m
4610889.997014472,2624960.6992778364,2020-02-02T12:00:38Z,20,m
4610824.1769629745,2625018.8587168115,2020-02-02T15:20:20Z,20,m
4610874.89377106,2625178.4293832583,2020-02-02T18:40:30Z,20,m
4610853.80566266,2625211.7189422846,2020-02-02T22:00:38Z,20,m
4610822.233277889,2625160.8913065214,2020-02-03T01:20:35Z,20,m
4610822.639706769,2625163.0334251733,2020-02-03T04:40:25Z,20,m
4610880.359088845,2624976.7538781436,2020-02-03T08:00:40Z,20,m
4610903.042711501,2624963.0624779207,2020-02-03T11:20:51Z,20,m
4610868.012194222,2624997.3372014933,2020-02-03T14:40:39Z,20,m
4610834.904201813,2625188.6917051733,2020-02-03T18:00:21Z,20,m
4610837.164787564,2625173.957508306,2020-02-03T21:20:38Z,20,m
4610808.166787049,2625155.5062387614,2020-02-04T00:40:22Z,20,m
4610834.549269193,2625166.1870466582,2020-02-04T04:00:38Z,20,m
4610868.262871521,2625018.9879765203,2020-02-04T07:20:40Z,20,m
4610849.246716519,2625014.6229489525,2020-02-04T10:40:47Z,20,m
4610850.714742999,2624977.361786395,2020-02-04T14:01:09Z,20,m
4610822.181833628,2625181.2538444833,2020-02-04T17:20:22Z,20,m
4610835.142860897,2625155.610492751,2020-02-04T20:40:23Z,20,m
4610819.472054186,2625159.053254757,2020-02-05T00:00:35Z,20,m
4610843.18679657,2625158.566790868,2020-02-05T03:20:10Z,20,m
4610862.604885092,2625016.5777412415,2020-02-05T06:40:35Z,20,m
4610858.019790958,2625002.766887873,2020-02-05T10:00:49Z,20,m
4610875.8154846905,2624956.1567477533,2020-02-05T13:20:24Z,20,m
4610930.199711391,2625139.250253481,2020-02-05T16:40:39Z,20,m
4610840.269939294,2625179.2073223544,2020-02-05T20:00:38Z,20,m
4610858.034956988,2625173.3258921066,2020-02-05T23:20:21Z,20,m
4610845.312831438,2625174.7977542984,2020-02-06T02:40:38Z,20,m
4610867.350554649,2625197.985149837,2020-02-06T06:00:11Z,20,m
4610905.022242145,2624952.556701731,2020-02-06T09:20:30Z,20,m
4610897.50930019,2624943.2633361267,2020-02-06T12:40:30Z,20,m
4610882.161962245,2624986.179956067,2020-02-06T16:00:31Z,20,m
4610839.72827394,2625184.270961725,2020-02-06T19:20:29Z,20,m
4610844.364659025,2625174.749347862,2020-02-06T22:40:38Z,20,m
4610834.872388005,2625170.022010721,2020-02-07T02:00:38Z,20,m
4610786.040956663,2625024.124765806,2020-02-07T05:20:36Z,20,m
4610873.239109285,2624864.382060694,2020-02-07T08:40:38Z,20,m
4611786.487452497,2625692.177913377,2020-02-07T08:40:59Z,8,f
4610894.943123316,2624831.9725538623,2020-02-07T12:00:24Z,20,m
4611792.738943638,2625689.9524631407,2020-02-07T12:00:42Z,8,f
4610889.806903175,2624863.5308447178,2020-02-07T15:20:37Z,20,m
4611844.905570465,2625686.2607263005,2020-02-07T15:20:40Z,8,f
4610873.487563251,2625196.6013896037,2020-02-07T18:40:24Z,20,m
4611656.100860624,2625843.756691795,2020-02-07T18:40:40Z,8,f
4610840.519340942,2625156.309241332,2020-02-07T22:00:38Z,20,m
4611331.351813184,2626123.7087099794,2020-02-07T22:01:09Z,8,f
4610811.408190901,2625183.2495225696,2020-02-08T01:20:27Z,20,m
4611992.274334468,2626271.2596030794,2020-02-08T01:20:38Z,8,f
4612140.886726916,2626247.90767844,2020-02-08T04:40:11Z,8,f
4610845.822883349,2625157.00427144,2020-02-08T04:40:33Z,20,m
4612305.435253646,2626242.3487229175,2020-02-08T08:00:16Z,8,f
4610739.921705321,2624992.496134472,2020-02-08T08:00:38Z,20,m
4612324.525209166,2626222.9628728824,2020-02-08T11:20:13Z,8,f
4610838.042389952,2624922.8320888984,2020-02-08T11:20:28Z,20,m
4612317.619890848,2626216.2442218843,2020-02-08T14:40:12Z,8,f
4610781.52723512,2624977.6485552997,2020-02-08T14:40:38Z,20,m
4610846.23029813,2625194.785489481,2020-02-08T18:00:32Z,20,m
4611917.179360996,2626415.060331975,2020-02-08T18:00:38Z,8,f
4611931.439664073,2626420.882633008,2020-02-08T21:20:38Z,8,f
4610855.347077021,2625186.341170744,2020-02-08T21:20:38Z,20,m
4611962.3438672135,2626274.8166515594,2020-02-09T00:40:09Z,8,f
4610867.485548136,2625178.8996902765,2020-02-09T00:40:19Z,20,m
4612003.053295102,2626288.3592020227,2020-02-09T04:00:36Z,8,f
4610835.528992492,2625175.995371165,2020-02-09T04:00:38Z,20,m
4611901.5677879,2626392.1975419554,2020-02-09T07:20:36Z,8,f
4610877.108524359,2624992.286055661,2020-02-09T07:20:38Z,20,m
4611936.367723842,2626417.316693292,2020-02-09T10:40:39Z,8,f
4610863.938006988,2624995.4321008623,2020-02-09T10:40:47Z,20,m
4610855.321067532,2625002.629110829,2020-02-09T14:00:22Z,20,m
4611871.705293365,2626428.4282048265,2020-02-09T14:00:37Z,8,f
4610847.710647249,2625224.136002905,2020-02-09T17:20:21Z,20,m
4610848.865802994,2625172.4334970494,2020-02-09T17:20:27Z,8,f
4610866.369865314,2625146.59787178,2020-02-09T20:40:32Z,8,f
4610828.391599295,2625173.9339093906,2020-02-09T20:40:38Z,20,m
4610865.722191919,2625082.4993849453,2020-02-10T00:00:27Z,8,f
4610834.612015264,2625173.827187311,2020-02-10T00:00:37Z,20,m
4610978.837143125,2625015.72464788,2020-02-10T03:20:20Z,8,f
4610858.035416389,2625191.145441658,2020-02-10T03:20:37Z,20,m
4611302.909594286,2625081.077455108,2020-02-10T06:40:35Z,20,m
4610975.169449611,2625021.901442066,2020-02-10T06:40:38Z,8,f
4610991.549029159,2624986.250419448,2020-02-10T10:00:36Z,8,f
4611289.145007701,2625085.889247735,2020-02-10T10:00:38Z,20,m
4611150.596929351,2624990.557751527,2020-02-10T13:20:38Z,8,f
4611826.553645871,2626254.704872229,2020-02-10T13:20:38Z,20,m
4611841.741006837,2626200.3264928455,2020-02-10T16:40:23Z,20,m
4610821.921468628,2625185.059021785,2020-02-10T16:40:29Z,8,f
4610832.079341564,2625149.514260051,2020-02-10T20:00:38Z,8,f
4610833.580269227,2625166.5618531397,2020-02-10T20:00:38Z,20,m
4610837.028576148,2625148.494097108,2020-02-10T23:20:21Z,20,m
4610840.112390063,2625136.3475753246,2020-02-10T23:20:25Z,8,f
4610870.673632614,2625167.607052756,2020-02-11T02:40:28Z,20,m
4610831.610436799,2625148.6417740737,2020-02-11T02:40:38Z,8,f
4610991.643192385,2625042.25947518,2020-02-11T06:00:15Z,8,f
4610751.1603293,2625123.745968294,2020-02-11T06:00:37Z,20,m
4610977.222204825,2625029.2189518455,2020-02-11T09:20:32Z,8,f
4610850.965677221,2625004.9524030504,2020-02-11T09:20:57Z,20,m
4610978.399671668,2625033.5218359125,2020-02-11T12:40:33Z,8,f
4610868.689134486,2624985.0678160056,2020-02-11T12:40:34Z,20,m
4610854.919834781,2625184.622260496,2020-02-11T16:00:21Z,8,f
4610869.491543499,2624988.0787007953,2020-02-11T16:00:56Z,20,m
4610845.9379763035,2625173.9811207806,2020-02-11T19:20:29Z,20,m
4610839.966781333,2625145.249901176,2020-02-11T19:20:38Z,8,f
4610814.482072601,2625187.649177017,2020-02-11T22:40:38Z,20,m
4610802.004754742,2625044.456184259,2020-02-11T22:40:39Z,8,f
4610860.722614374,2625151.4008416804,2020-02-12T02:00:22Z,8,f
4610820.16139052,2625210.4256312996,2020-02-12T02:00:32Z,20,m
4610807.412297717,2625037.095276834,2020-02-12T05:20:11Z,20,m
4610840.586713309,2624978.1175673287,2020-02-12T05:20:28Z,8,f
4610882.589295084,2624990.868789157,2020-02-12T08:40:36Z,20,m
4610955.622483342,2625059.5121186534,2020-02-12T08:41:38Z,8,f
4610884.631272444,2624979.0933731003,2020-02-12T12:00:25Z,20,m
4610986.297884433,2625042.410730769,2020-02-12T12:00:38Z,8,f
4610876.7020953605,2624990.1439347193,2020-02-12T15:20:32Z,20,m
4610835.091374539,2625175.9730304666,2020-02-12T15:20:38Z,8,f
4610823.82713453,2625150.79008897,2020-02-12T18:40:18Z,8,f
4610834.268337467,2625179.3252084954,2020-02-12T18:40:37Z,20,m
4610794.349256733,2625121.2832798692,2020-02-12T22:00:21Z,8,f
4610853.325769818,2625188.7836211678,2020-02-12T22:00:38Z,20,m
4610829.432889133,2625152.7733535487,2020-02-13T01:20:34Z,8,f
4610841.426121687,2625166.113842971,2020-02-13T01:20:38Z,20,m
4610863.659984796,2625115.48749097,2020-02-13T04:40:26Z,20,m
4610805.35922623,2625026.8079072307,2020-02-13T04:40:38Z,8,f
4610892.090819768,2624937.4711132357,2020-02-13T08:00:22Z,8,f
4610852.956737961,2625034.3289576247,2020-02-13T08:00:39Z,20,m
4610927.20222305,2624767.857280329,2020-02-13T11:20:24Z,8,f
4610860.217700256,2624980.392576995,2020-02-13T11:20:39Z,20,m
4610892.110731372,2624901.4088448333,2020-02-13T14:40:37Z,8,f
4610871.0963585,2624994.1004708637,2020-02-13T14:40:57Z,20,m
4610806.082285257,2625138.42886928,2020-02-13T18:00:21Z,20,m
4610834.528174026,2625157.700484095,2020-02-13T18:00:22Z,8,f
4610829.881792746,2625180.7983719385,2020-02-13T21:20:38Z,8,f
4610820.900171217,2625179.0670464253,2020-02-13T21:20:38Z,20,m
4610813.543670046,2625168.0846596686,2020-02-14T00:40:21Z,20,m
4610848.678601538,2625185.1521713394,2020-02-14T00:40:37Z,8,f
4610844.35395073,2625164.5662169526,2020-02-14T04:00:12Z,8,f
4610831.236116973,2625174.0791211706,2020-02-14T04:00:34Z,20,m
4610870.169558676,2625014.418307606,2020-02-14T07:20:21Z,20,m
4610754.378432261,2625089.5440275646,2020-02-14T07:20:39Z,8,f
4610975.971879586,2625033.822112888,2020-02-14T10:40:38Z,8,f
4610876.6393711325,2624982.5037995926,2020-02-14T10:40:38Z,20,m
4610833.507635028,2624864.899384093,2020-02-14T14:00:36Z,20,m
4610853.555574802,2625210.8576252577,2020-02-14T14:00:48Z,8,f
4610793.787145036,2625135.67990506,2020-02-14T17:20:25Z,20,m
4610820.494314512,2625194.7444766667,2020-02-14T17:20:38Z,8,f
